"pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","dropoff_datetime","pickup_datetime","passenger_count","trip_distance"
"-73.988034999999996","40.718646999999997","-73.983711999999997","40.726166999999997","2014-01-06T00:04:00.000","2014-01-06T00:00:00.000","2","0.60999999999999999"
"-73.985411999999997","40.763066999999999","-73.999414999999999","40.732652000000002","2014-01-06T00:04:00.000","2014-01-05T23:52:00.000","1","2.7000000000000002"
"-73.959986999999998","40.773612","-73.967572000000004","40.763092","2014-01-06T00:04:00.000","2014-01-06T00:01:00.000","2","0.91000000000000003"
"-73.997461999999999","40.721111999999998","-73.986981999999998","40.728341999999998","2014-01-06T00:04:00.000","2014-01-05T23:59:00.000","1","0.95999999999999996"
"-73.988332","40.768991999999997","-73.985292000000001","40.749651999999998","2014-01-06T00:04:00.000","2014-01-05T23:57:00.000","1","2.0499999999999998"
"-73.988315","40.753827000000001","-73.982952999999995","40.725071999999997","2014-01-06T00:04:00.000","2014-01-05T23:53:00.000","3","2.7999999999999998"
"-73.993472999999994","40.752042000000003","-73.985802000000007","40.748719999999999","2014-01-06T00:04:00.000","2014-01-05T23:59:00.000","1","0.46999999999999997"
"-73.987395000000006","40.770626999999998","-73.964457999999993","40.794877","2014-01-06T00:04:00.000","2014-01-05T23:58:00.000","2","2.3500000000000001"
"-73.997012999999995","40.714919999999999","-74.004159999999999","40.710355","2014-01-06T00:04:00.000","2014-01-06T00:00:00.000","1","0.68000000000000005"
"-73.991024999999993","40.750399999999999","-73.979280000000003","40.773597000000002","2014-01-06T00:04:00.000","2014-01-05T23:55:00.000","3","2.1699999999999999"
"-74.013140000000007","40.707636999999998","-73.986445000000003","40.731324999999998","2014-01-06T00:04:00.000","2014-01-05T23:54:00.000","1","2.6600000000000001"
"-73.985112000000001","40.741987000000002","-74.022092000000001","40.632902000000001","2014-01-06T00:04:00.000","2014-01-05T23:42:00.000","1","10.210000000000001"
"-74.002566999999999","40.728867000000001","-73.948907000000005","40.823315000000001","2014-01-06T00:04:00.000","2014-01-05T23:41:00.000","1","8.5299999999999994"
"-73.983107000000004","40.730576999999997","-74.002492000000004","40.739812000000001","2014-01-06T00:04:00.000","2014-01-05T23:57:00.000","1","1.5900000000000001"
"-73.995351999999997","40.739372000000003","-73.998954999999995","40.744540000000001","2014-01-06T00:04:00.000","2014-01-06T00:00:00.000","1","0.57999999999999996"
"-73.998441999999997","40.72383","-73.952183000000005","40.659306999999998","2014-01-06T00:04:00.000","2014-01-05T23:45:00.000","1","5.6299999999999999"
"-74.005331999999996","40.751142000000002","-73.940952999999993","40.816676999999999","2014-01-06T00:04:00.000","2014-01-05T23:36:00.000","1","9.3699999999999992"
"-73.991747000000004","40.684907000000003","-73.984016999999994","40.725411999999999","2014-01-06T00:04:00.000","2014-01-05T23:51:00.000","4","3.54"
"-73.992237000000003","40.721316999999999","-73.996392","40.686022000000001","2014-01-06T00:04:00.000","2014-01-05T23:41:00.000","1","5.8899999999999997"
"-73.980767","40.747332","-73.972049999999996","40.755434999999999","2014-01-06T00:04:00.000","2014-01-06T00:00:00.000","1","0.98999999999999999"
"-73.989800000000002","40.733375000000002","-73.986180000000004","40.746617000000001","2014-01-06T00:04:00.000","2014-01-05T23:59:00.000","1","1.1599999999999999"
"-73.996542000000005","40.723669999999998","-73.964286999999999","40.635044999999998","2014-01-06T00:04:00.000","2014-01-05T23:41:00.000","4","8.6199999999999992"
